GeneID, Localization
G234273, cytoplasm
G234490, nucleus
G236380, cytoplasm
G234394, cytoskeleton
G234385, mitochondria
G234365, cytoplasm
G235818, nucleus
G235319, nucleus
G234573, mitochondria
G236758, ER
G234364, nucleus
G238800, vacuole
G234247, nucleus
G237124, nucleus
G235916, nucleus
G235909, nucleus
G235001, nucleus
G235488, nucleus
G235268, nucleus
G235748, nucleus
G234189, nucleus
G236813, cytoskeleton
G234485, nucleus
G235354, cytoskeleton
G235389, cytoplasm
G235233, nucleus
G235001, nucleus
G234791, cytoplasm
G235538, nucleus
G236279, cytoplasm
G237321, cytoplasm
G235888, nucleus
G235319, nucleus
G235367, nucleus
G235855, cytoplasm
G235097, nucleus
G235746, nucleus
G234704, cytoplasm
G235094, mitochondria
G234433, nucleus
G235081, mitochondria
G239304, extracellular
G238662, nucleus
G234612, nucleus
G235908, nucleus
G235236, nucleus
G237392, nucleus
G237587, cytoskeleton
G234267, cytoplasm
G235878, vacuole
G239938, cytoplasm
G234773, cytoplasm
G238132, vacuole
G234147, nucleus
G235224, ER
G235783, nucleus
G234470, plasma membrane
G234199, nucleus
G234268, cytoplasm
G234213, cytoplasm
G235081, cytoskeleton
G237587, cytoskeleton
G234671, plasma membrane
G234385, ER
G234081, nucleus
G236812, nucleus
G235369, nucleus
G235055, cytoplasm
G235547, cytoskeleton
G239835, nucleus
G236380, cytoplasm
G240373, ER
G237387, cytoskeleton
G235356, nucleus
G234847, nucleus
G234531, peroxisome
G235612, nucleus
G235831, ER
G235305, nucleus
G235387, cytoplasm
G235612, endosome
G234412, nucleus
G235605, cytoskeleton
G234790, cytoplasm
G235001, nucleus
G239974, cytoskeleton
G235109, nucleus
G234711, nucleus
G234612, nucleus
G235778, cytoskeleton
G234490, nucleus
G234704, nucleus
G235339, nucleus
G235305, nucleus
G234739, cytoplasm
G235635, nucleus
G235098, nucleus
G234414, nucleus
G234339, mitochondria
G234247, cytoskeleton
G235908, nucleus
G234515, nucleus
G234739, cytoplasm
G235223, cytoskeleton
G234573, ER
G234112, mitochondria
G235562, nucleus
G234147, nucleus
G234267, cytoplasm
G235354, cytoskeleton
G239273, cytoskeleton
G236838, nucleus
G235337, cytoplasm
G237196, nucleus
G235507, cytoskeleton
G236066, cytoskeleton
G235901, cytoskeleton
G235121, vacuole
G235770, nucleus
G235354, nucleus
G234798, nucleus
G237100, nucleus
G235354, nucleus
G236279, cytoplasm
G235605, nucleus
G234940, plasma membrane
G235794, nucleus
G234785, cytoskeleton
G237747, nucleus
G237429, golgi
G235440, nucleus
G234704, nucleus
G238063, nucleus
G239825, cytoplasm
G234394, cytoskeleton
G235612, nucleus
G235770, cytoplasm
G235878, vacuole
G235878, golgi
G235638, endosome
G234273, cytoplasm
G234267, cytoplasm
G234573, mitochondria
G235440, nucleus
G238723, nucleus
G234521, cytoskeleton
G234120, plasma membrane
G234940, plasma membrane
G235215, nucleus
G238809, nucleus
G234333, cytoplasm
G234120, plasma membrane
G234249, nucleus
G239825, cytoplasm
G236523, nucleus
G236523, mitochondria
G235440, nucleus
G235878, vacuole
G239856, nucleus
G234958, nucleus
G235325, nucleus
G234940, plasma membrane
G238132, vacuole
G234485, cytoplasm
G234283, cytoplasm
G234653, nucleus
G239913, nucleus
G234385, mitochondria
G234419, nucleus
G236813, cytoskeleton
G240057, nucleus
G235081, mitochondria
G236021, ER
G238723, nucleus
G239588, mitochondria
G234423, plasma membrane
G235533, nucleus
G234905, cytoskeleton
G235050, nucleus
G234414, nucleus
G234905, cytoplasm
G234612, nucleus
G235576, cytoplasm
G234698, plasma membrane
G234485, plasma membrane
G235503, cytoskeleton
G237406, cytoskeleton
G240407, golgi
G234701, mitochondria
G234515, nucleus
G235097, nucleus
G235376, cytoplasm
G235268, nucleus
G235818, nucleus
G234701, mitochondria
G234974, nucleus
G234847, nucleus
G235882, nucleus
G234847, nucleus
G240296, ER
G235110, nucleus
G235770, cytoplasm
G235783, nucleus
G234905, cytoplasm
G234086, mitochondria
G235220, transport vesicles
G237670, nucleus
G234773, cytoplasm
G234798, nucleus
G235112, nucleus
G239517, peroxisome
G234791, cytoplasm
G235160, cytoskeleton
G235276, cytoplasm
G234394, cytoskeleton
G235493, nucleus
G234794, mitochondria
G234847, cytoskeleton
G237043, ER
G235547, cytoskeleton
G234573, nucleus
G235547, cytoskeleton
G234314, plasma membrane
G234728, cytoplasm
G234231, mitochondria
G235337, cytoplasm
G235305, nucleus
G235488, nucleus
G235576, cytoplasm
G235794, nucleus
G234365, cytoplasm
G234216, nucleus
G234389, nucleus
G234612, nucleus
G234175, nucleus
G235050, nucleus
G234419, nucleus
G236279, cytoplasm
G234373, nucleus
G235081, vacuole
G239835, nucleus
G234515, nucleus
G234905, cytoplasm
G237656, ER
G235356, nucleus
G234490, nucleus
G234249, nucleus
G234249, nucleus
G234365, cytoplasm
G235770, cytoplasm
G234728, cytoplasm
G235795, nucleus
G234711, nucleus
G234794, mitochondria
G234339, mitochondria
G234385, mitochondria
G234739, cytoplasm
G239343, nucleus
G234671, plasma membrane
G234394, cytoskeleton
G238783, nucleus
G234618, nucleus
G235888, nucleus
G235069, nucleus
G234226, golgi
G235414, cytoplasm
G234333, cytoplasm
G235695, nucleus
G235646, nucleus
G235106, nucleus
G235538, nucleus
G238132, vacuole
G234147, nucleus
G234394, cytoskeleton
G235055, cytoplasm
G237429, golgi
G235150, cytoskeleton
G234515, nucleus
G235233, nucleus
G234806, nucleus
G234573, mitochondria
G235424, vacuole
G234203, nucleus
G234847, nucleus
G235111, cytoplasm
G234615, cytoskeleton
G235818, mitochondria
G235339, nucleus
G235783, nucleus
G238063, nucleus
G234419, nucleus
G234521, cytoskeleton
G236838, nucleus
G235746, nucleus
G237587, mitochondria
G235778, nucleus
G234750, cytoplasm
G234226, vacuole
G234704, nucleus
G235354, nucleus
G235882, nucleus
G234813, mitochondria
G234442, cytoskeleton
G235118, transport vesicles
G235389, vacuole
G239572, vacuole
G234521, cytoskeleton
G235794, nucleus
G235121, vacuole
G234834, cytoplasm
G236380, cytoplasm
G234247, nucleus
G234179, nucleus
G234405, nucleus
G239574, cytoplasm
G234086, mitochondria
G237587, cytoskeleton
G235605, cytoskeleton
G237059, mitochondria
G235166, nucleus
G235354, nucleus
G235224, ER
G235305, nucleus
G234249, nucleus
G235121, vacuole
G234515, nucleus
G235354, cytoskeleton
G234086, mitochondria
G234086, mitochondria
G235224, ER
G235051, nucleus
G235783, nucleus
G235305, nucleus
G235777, nucleus
G236523, mitochondria
G234365, cytoplasm
G234414, nucleus
G235547, cytoskeleton
G234741, cytoplasm
G234837, nucleus
G239593, cytoplasm
G234617, plasma membrane
G234419, nucleus
G234847, nucleus
G237429, golgi
G235761, cytoskeleton
G235589, mitochondria
G240407, golgi
G234688, nucleus
G236831, ER
G235794, nucleus
G234534, cytoplasm
G234394, cytoskeleton
G235778, cytoskeleton
G235098, nucleus
G235933, mitochondria
G235848, nucleus
G236523, mitochondria
G234573, mitochondria
G235224, cytoplasm
G235387, cytoplasm
G235454, mitochondria
G235904, nucleus
G234419, nucleus
G239517, peroxisome
G234179, nucleus
G237587, mitochondria
G234433, cytoplasm
G234365, cytoplasm
G235767, mitochondria
G235001, nucleus
G235818, cytoskeleton
G234741, cytoplasm
G234590, nucleus
G235562, nucleus
G235356, nucleus
G234247, cytoskeleton
G236838, mitochondria
G234419, nucleus
G238147, cytoskeleton
G235571, mitochondria
G234372, nucleus
G235220, ER
G234298, nucleus
G235081, vacuole
G235538, nucleus
G238723, nucleus
G234847, nucleus
G235311, nucleus
G236099, nucleus
G236523, nucleus
G235795, nucleus
G235916, nucleus
G235704, golgi
G234798, nucleus
G239593, cytoplasm
G235454, nucleus
G235908, nucleus
G236831, ER
G235082, nucleus
G235804, vacuole
G234433, nucleus
G235097, nucleus
G235831, ER
G235389, cytoplasm
G234945, nucleus
G237337, ER
G235860, nucleus
G236831, ER
G235305, nucleus
G234249, nucleus
G234531, cytoplasm
G235033, nucleus
G234419, nucleus
G235520, nucleus
G235695, nucleus
G240072, cytoskeleton
G234977, vacuole
G235233, nucleus
G234414, nucleus
G235150, cytoskeleton
G235888, nucleus
G240237, cytoplasm
G235857, mitochondria
G235311, cytoplasm
G235377, transport vesicles
G235150, cytoplasm
G236831, ER
G236523, mitochondria
G239162, ER
G234365, cytoplasm
G235767, mitochondria
G235646, cytoskeleton
G235353, transport vesicles
G234704, nucleus
G234701, mitochondria
G238920, nucleus
G236523, nucleus
G235183, cytoskeleton
G235505, nucleus
G234704, cytoplasm
G235081, mitochondria
G235878, vacuole
G234922, nucleus
G240072, cytoskeleton
G234758, nucleus
G238132, vacuole
G236771, cytoskeleton
G234412, nucleus
G234847, nucleus
G234785, cytoskeleton
G235818, nucleus
G235524, cytoplasm
G234974, nucleus
G239273, cytoplasm
G234419, nucleus
G234612, nucleus
G234834, cytoplasm
G238783, cytoskeleton
G234847, nucleus
G234704, cytoplasm
G234470, plasma membrane
G235705, nucleus
G234531, plasma membrane
G238170, nucleus
G239593, cytoplasm
G235901, cytoskeleton
G234837, nucleus
G235818, nucleus
G235454, nucleus
G234711, nucleus
G239830, cytoplasm
G234087, nucleus
G234905, cytoskeleton
G235454, mitochondria
G234758, plasma membrane
G234905, cytoskeleton
G235268, nucleus
G235888, nucleus
G234226, golgi
G235325, nucleus
G234086, mitochondria
G235878, vacuole
G234905, cytoplasm
G237529, ER
G235685, golgi
G235311, cytoplasm
G234470, plasma membrane
G235783, nucleus
G235595, mitochondria
G234773, cytoplasm
G235770, cytoplasm
G234385, ER
G234249, nucleus
G237700, ER
G237587, mitochondria
G234394, cytoskeleton
G236099, nucleus
G235878, vacuole
G235220, transport vesicles
G237429, golgi
G237116, cytoplasm
G234247, cytoskeleton
G235794, nucleus
G235081, mitochondria
G234203, nucleus
G235476, nucleus
G235405, plasma membrane
G235567, nucleus
G235538, nucleus
G235547, cytoskeleton
G235098, nucleus
G237375, nucleus
G235121, cytoskeleton
G234365, cytoplasm
G237587, mitochondria
G235761, cytoskeleton
G235466, cytoplasm
G235612, nucleus
G238800, mitochondria
G234992, plasma membrane
G239938, cytoplasm
G234612, nucleus
G234615, cytoskeleton
